antecedent,consequent,support,confidence,lift,co_occurrences,antecedent_orders
Landscaping & Gardening,Fuel & Gas,0.0854,0.6989,5.983,427,611
Breakers & Drills,Fixing & Fastening,0.073,0.4249,4.309,365,859
Fixing & Fastening,Breakers & Drills,0.073,0.7404,4.309,365,493
Lifting Equipment,Material Handling & Logistics,0.1006,0.4903,4.3,503,1026
Material Handling & Logistics,Lifting Equipment,0.1006,0.8825,4.3,503,570
Mechanical & Electrical,Breakers & Drills,0.0724,0.7126,4.148,362,508
Breakers & Drills,Mechanical & Electrical,0.0724,0.4214,4.148,362,859
"Safety, Ventilation & Extraction",Breakers & Drills,0.0454,0.5761,3.354,227,394
Breakers & Drills,"Safety, Ventilation & Extraction",0.0454,0.2643,3.354,227,859
Lifting Equipment,Access,0.0712,0.347,3.349,356,1026
Access,Lifting Equipment,0.0712,0.6873,3.349,356,518
Lifting Equipment,Powered Access,0.074,0.3606,3.327,370,1026
Powered Access,Lifting Equipment,0.074,0.6827,3.327,370,542
Cutting & Grinding,Breakers & Drills,0.0432,0.564,3.283,216,383
Breakers & Drills,Cutting & Grinding,0.0432,0.2515,3.283,216,859
Propping & Support,Breakers & Drills,0.041,0.5438,3.165,205,377
Breakers & Drills,Propping & Support,0.041,0.2386,3.165,205,859
Breakers & Drills,Plant,0.0048,0.0279,0.312,24,859
Plant,Breakers & Drills,0.0048,0.0536,0.312,24,448
Breakers & Drills,Site Equipment & Groundworks,0.0034,0.0198,0.215,17,859
Site Equipment & Groundworks,Breakers & Drills,0.0034,0.0369,0.215,17,461
Breakers & Drills,Cleaning,0.0036,0.021,0.214,18,859
Cleaning,Breakers & Drills,0.0036,0.0367,0.214,18,490
Powered Access,Breakers & Drills,0.0036,0.0332,0.193,18,542
Breakers & Drills,Powered Access,0.0036,0.021,0.193,18,859
Breakers & Drills,Painting & Decorating,0.003,0.0175,0.171,15,859
Painting & Decorating,Breakers & Drills,0.003,0.0294,0.171,15,510
Breakers & Drills,Access,0.003,0.0175,0.169,15,859
Access,Breakers & Drills,0.003,0.029,0.169,15,518
Lifting Equipment,Painting & Decorating,0.0032,0.0156,0.153,16,1026
Painting & Decorating,Lifting Equipment,0.0032,0.0314,0.153,16,510
Lifting Equipment,Sanding & Woodworking,0.0032,0.0156,0.151,16,1026
Sanding & Woodworking,Lifting Equipment,0.0032,0.0309,0.151,16,518
Lifting Equipment,Landscaping & Gardening,0.0036,0.0175,0.144,18,1026
Landscaping & Gardening,Lifting Equipment,0.0036,0.0295,0.144,18,611
Climate Control,Lifting Equipment,0.003,0.0253,0.123,15,594
Lifting Equipment,Climate Control,0.003,0.0146,0.123,15,1026
Lifting Equipment,Breakers & Drills,0.0038,0.0185,0.108,19,1026
Breakers & Drills,Lifting Equipment,0.0038,0.0221,0.108,19,859
