order_id,site,customer_type,order_date,project_cluster,basket_size,order_value_gbp,funnel_stage_reached
ORD-6040,Site-120,Self-Employed Trade,2025-09-28,Demolition,2,2404.57,Returned / Completed
ORD-6041,Site-130,M&E Contractor,2026-04-04,Access & Height,1,2187.81,Quote Requested
ORD-6042,Site-072,Main Contractor,2025-12-29,Demolition,5,5633.67,Returned / Completed
ORD-6043,Site-084,Self-Employed Trade,2026-07-14,Landscaping,3,3926.35,Returned / Completed
ORD-6044,Site-110,Self-Employed Trade,2026-04-06,Fixing,3,1398.77,Returned / Completed
ORD-6045,Site-008,Self-Employed Trade,2025-08-11,Access & Height,3,4655.6,Returned / Completed
ORD-6046,Site-141,Groundworks Sub-contractor,2025-10-05,Finishing,3,2292.1,Returned / Completed
ORD-6047,Site-042,Main Contractor,2026-03-07,Fixing,3,3794.03,Returned / Completed
ORD-6048,Site-095,Demolition Specialist,2026-03-25,Site Setup,2,2403.23,Returned / Completed
ORD-6049,Site-033,Facilities Management,2026-07-05,Fixing,2,2648.71,Returned / Completed
ORD-6050,Site-109,Facilities Management,2026-03-27,Groundworks,4,6832.61,Returned / Completed
ORD-6051,Site-175,Main Contractor,2026-06-08,Access & Height,3,5207.36,Returned / Completed
ORD-6052,Site-078,Groundworks Sub-contractor,2025-11-23,Groundworks,3,3756.16,Quote Requested
ORD-6053,Site-078,M&E Contractor,2026-05-19,Groundworks,2,1561.82,Quote Approved
ORD-6054,Site-128,Facilities Management,2026-03-13,Finishing,2,1831.09,Dispatched
ORD-6055,Site-002,Self-Employed Trade,2026-03-21,Logistics,2,2657.27,Returned / Completed
ORD-6056,Site-157,Groundworks Sub-contractor,2026-06-11,Demolition,4,5463.65,Returned / Completed
ORD-6057,Site-081,Facilities Management,2025-09-14,Demolition,2,748.98,Returned / Completed
ORD-6058,Site-028,Main Contractor,2026-04-22,Access & Height,3,1709.96,Returned / Completed
ORD-6059,Site-051,Demolition Specialist,2026-05-13,Finishing,3,3188.6,Returned / Completed
ORD-6060,Site-156,Demolition Specialist,2025-11-15,Groundworks,3,3876.45,Returned / Completed
ORD-6061,Site-017,Main Contractor,2026-06-23,Access & Height,3,3870.68,Returned / Completed
ORD-6062,Site-128,Groundworks Sub-contractor,2025-11-19,Landscaping,2,2258.32,Quote Requested
ORD-6063,Site-051,M&E Contractor,2026-02-10,Fixing,3,2691.15,Returned / Completed
ORD-6064,Site-115,Groundworks Sub-contractor,2026-06-28,Site Setup,2,1675.09,Returned / Completed
ORD-6065,Site-067,Groundworks Sub-contractor,2025-09-01,Landscaping,2,1622.77,Returned / Completed
ORD-6066,Site-168,M&E Contractor,2026-03-17,Demolition,4,5542.05,Returned / Completed
ORD-6067,Site-132,Self-Employed Trade,2025-11-28,Landscaping,2,1937.22,Returned / Completed
ORD-6068,Site-154,Facilities Management,2025-08-09,Landscaping,1,1496.32,Returned / Completed
ORD-6069,Site-017,M&E Contractor,2026-04-02,Landscaping,3,2654.58,Returned / Completed
ORD-6070,Site-146,Demolition Specialist,2025-08-22,Finishing,3,2961.89,Returned / Completed
ORD-6071,Site-041,M&E Contractor,2026-01-10,Logistics,2,772.14,Quote Requested
ORD-6072,Site-095,Facilities Management,2025-09-23,Landscaping,3,2425.96,Returned / Completed
ORD-6073,Site-124,Demolition Specialist,2025-10-22,Demolition,1,287.82,Quote Approved
ORD-6074,Site-122,Groundworks Sub-contractor,2025-08-24,Access & Height,3,3662.29,Returned / Completed
ORD-6075,Site-100,Landscaping Contractor,2026-04-26,Site Setup,2,2995.58,Returned / Completed
ORD-6076,Site-159,M&E Contractor,2026-02-09,Logistics,2,2202.43,Returned / Completed
ORD-6077,Site-092,M&E Contractor,2025-09-02,Fixing,2,2718.58,Quote Requested
ORD-6078,Site-097,Facilities Management,2025-10-30,Finishing,2,2555.85,Returned / Completed
ORD-6079,Site-057,Main Contractor,2026-06-12,Landscaping,4,4799.47,Returned / Completed
ORD-6080,Site-082,Demolition Specialist,2025-09-04,Access & Height,3,1307.92,Returned / Completed
ORD-6081,Site-116,Landscaping Contractor,2026-02-23,Logistics,2,2804.57,Returned / Completed
ORD-6082,Site-114,Groundworks Sub-contractor,2026-05-23,Demolition,2,2219.11,Returned / Completed
ORD-6083,Site-107,Landscaping Contractor,2026-06-21,Access & Height,2,1191.99,Returned / Completed
ORD-6084,Site-078,Landscaping Contractor,2025-11-07,Demolition,3,3223.43,Returned / Completed
ORD-6085,Site-038,Self-Employed Trade,2026-04-25,Groundworks,4,6202.16,Quote Requested
ORD-6086,Site-043,Main Contractor,2026-06-17,Logistics,2,1522.57,Returned / Completed
ORD-6087,Site-157,Groundworks Sub-contractor,2025-12-20,Demolition,2,1516.13,Returned / Completed
ORD-6088,Site-045,Groundworks Sub-contractor,2025-08-29,Groundworks,4,4811.15,Returned / Completed
ORD-6089,Site-076,Facilities Management,2025-07-25,Landscaping,2,4041.95,Returned / Completed
ORD-6090,Site-100,Demolition Specialist,2026-06-02,Landscaping,1,1394.49,Returned / Completed
ORD-6091,Site-007,M&E Contractor,2026-01-02,Landscaping,3,4730.05,Quote Approved
ORD-6092,Site-008,Main Contractor,2026-03-29,Site Setup,4,2522.69,Returned / Completed
ORD-6093,Site-053,Main Contractor,2026-06-22,Groundworks,3,4366.33,Returned / Completed
ORD-6094,Site-066,Demolition Specialist,2025-08-25,Groundworks,4,5745.42,Returned / Completed
ORD-6095,Site-133,Self-Employed Trade,2025-09-10,Finishing,3,1783.02,Quote Requested
ORD-6096,Site-090,M&E Contractor,2025-09-29,Demolition,5,7315.41,Returned / Completed
ORD-6097,Site-126,Self-Employed Trade,2025-10-25,Access & Height,3,3886.99,Returned / Completed
ORD-6098,Site-140,Landscaping Contractor,2026-01-29,Access & Height,2,2690.1,Returned / Completed
ORD-6099,Site-119,M&E Contractor,2025-08-27,Demolition,2,2271.47,Returned / Completed
ORD-6100,Site-064,Facilities Management,2026-03-19,Demolition,2,2074.46,Returned / Completed
ORD-6101,Site-099,Groundworks Sub-contractor,2026-04-24,Demolition,5,7249.12,Quote Requested
ORD-6102,Site-076,M&E Contractor,2025-08-23,Landscaping,3,2595.49,Returned / Completed
ORD-6103,Site-150,Self-Employed Trade,2026-07-13,Fixing,3,1619.34,Returned / Completed
ORD-6104,Site-124,M&E Contractor,2025-12-06,Access & Height,3,3360.82,Returned / Completed
ORD-6105,Site-140,Groundworks Sub-contractor,2025-08-11,Landscaping,2,2264.12,Returned / Completed
ORD-6106,Site-134,Demolition Specialist,2026-04-04,Finishing,1,1008.9,Returned / Completed
ORD-6107,Site-016,Main Contractor,2025-11-24,Demolition,3,3810.75,Returned / Completed
ORD-6108,Site-101,M&E Contractor,2025-08-04,Access & Height,2,1049.45,Returned / Completed
ORD-6109,Site-106,M&E Contractor,2026-06-10,Fixing,3,5399.38,Returned / Completed
ORD-6110,Site-072,Demolition Specialist,2025-11-17,Access & Height,3,2613.2,Returned / Completed
ORD-6111,Site-145,Demolition Specialist,2025-12-08,Finishing,1,1763.76,Quote Approved
ORD-6112,Site-149,Groundworks Sub-contractor,2026-05-05,Finishing,2,2460.47,Returned / Completed
ORD-6113,Site-141,Self-Employed Trade,2025-11-26,Access & Height,2,2245.95,Returned / Completed
ORD-6114,Site-031,Demolition Specialist,2025-11-04,Logistics,2,2877.11,Quote Requested
ORD-6115,Site-083,M&E Contractor,2025-11-15,Site Setup,1,1585.69,Returned / Completed
ORD-6116,Site-166,Main Contractor,2025-11-03,Logistics,2,494.19,Returned / Completed
ORD-6117,Site-025,Self-Employed Trade,2026-01-27,Fixing,1,1511.23,Returned / Completed
ORD-6118,Site-075,Demolition Specialist,2026-01-22,Site Setup,2,2074.8,Quote Approved
ORD-6119,Site-163,Main Contractor,2026-01-26,Site Setup,2,2025.02,Returned / Completed
ORD-6120,Site-049,Self-Employed Trade,2025-10-05,Landscaping,2,3450.84,Quote Requested
ORD-6121,Site-171,Facilities Management,2025-08-13,Groundworks,2,2825.52,Returned / Completed
ORD-6122,Site-080,Landscaping Contractor,2026-05-25,Logistics,2,3536.62,Returned / Completed
ORD-6123,Site-179,M&E Contractor,2026-04-12,Site Setup,2,1290.42,Returned / Completed
ORD-6124,Site-039,Facilities Management,2025-12-29,Finishing,3,1962.23,Returned / Completed
ORD-6125,Site-013,Demolition Specialist,2026-05-14,Landscaping,4,6927.04,Returned / Completed
ORD-6126,Site-016,Main Contractor,2026-06-02,Access & Height,3,4960.15,Returned / Completed
ORD-6127,Site-043,Groundworks Sub-contractor,2025-12-28,Access & Height,3,4654.65,Returned / Completed
ORD-6128,Site-072,Main Contractor,2026-04-23,Logistics,2,2931.04,Returned / Completed
ORD-6129,Site-176,M&E Contractor,2025-09-11,Access & Height,3,5196.87,Returned / Completed
ORD-6130,Site-037,Self-Employed Trade,2026-02-20,Logistics,2,4164.57,Returned / Completed
ORD-6131,Site-142,M&E Contractor,2026-05-01,Access & Height,3,4070.97,Quote Requested
ORD-6132,Site-099,M&E Contractor,2026-03-18,Access & Height,1,1271.94,Dispatched
ORD-6133,Site-151,Groundworks Sub-contractor,2025-10-14,Fixing,3,1675.56,Returned / Completed
ORD-6134,Site-028,Demolition Specialist,2025-07-22,Access & Height,3,3724.01,Returned / Completed
ORD-6135,Site-072,M&E Contractor,2025-09-13,Groundworks,2,1458.82,Returned / Completed
ORD-6136,Site-009,Landscaping Contractor,2025-09-15,Fixing,3,3695.32,Dispatched
ORD-6137,Site-101,Groundworks Sub-contractor,2026-06-13,Landscaping,3,3719.16,Returned / Completed
ORD-6138,Site-132,Facilities Management,2026-03-24,Demolition,4,4933.12,Quote Requested
ORD-6139,Site-100,Main Contractor,2026-02-03,Fixing,3,2955.95,Returned / Completed
ORD-6140,Site-096,Facilities Management,2026-05-03,Landscaping,3,1921.67,Returned / Completed
ORD-6141,Site-015,Groundworks Sub-contractor,2025-12-30,Fixing,3,3391.86,Returned / Completed
ORD-6142,Site-082,M&E Contractor,2026-04-30,Access & Height,2,2415.02,Returned / Completed
ORD-6143,Site-052,Demolition Specialist,2025-10-26,Groundworks,4,3084.22,Quote Requested
ORD-6144,Site-130,Demolition Specialist,2025-12-28,Access & Height,4,6147.75,Quote Requested
ORD-6145,Site-047,Landscaping Contractor,2026-02-19,Demolition,2,3353.77,Quote Requested
ORD-6146,Site-050,Landscaping Contractor,2026-04-06,Logistics,2,1002.52,Returned / Completed
ORD-6147,Site-024,Main Contractor,2025-07-26,Logistics,2,2728.44,Returned / Completed
ORD-6148,Site-134,M&E Contractor,2026-05-08,Landscaping,3,3361.53,Dispatched
ORD-6149,Site-115,Landscaping Contractor,2026-03-12,Fixing,3,2488.32,Returned / Completed
ORD-6150,Site-179,Facilities Management,2026-03-13,Landscaping,3,2180.58,Dispatched
ORD-6151,Site-032,M&E Contractor,2025-09-23,Site Setup,2,2368.58,Quote Approved
ORD-6152,Site-005,Facilities Management,2026-02-22,Groundworks,1,965.26,Returned / Completed
ORD-6153,Site-093,Demolition Specialist,2025-12-12,Finishing,3,4488.7,Quote Requested
ORD-6154,Site-170,Facilities Management,2025-09-30,Fixing,3,1162.31,Returned / Completed
ORD-6155,Site-011,Main Contractor,2026-01-30,Site Setup,2,3362.8,Returned / Completed
ORD-6156,Site-079,Demolition Specialist,2025-08-02,Finishing,3,3291.62,Returned / Completed
ORD-6157,Site-071,Groundworks Sub-contractor,2025-10-25,Landscaping,1,1666.58,Returned / Completed
ORD-6158,Site-157,M&E Contractor,2025-10-09,Access & Height,2,1934.53,Returned / Completed
ORD-6159,Site-083,Landscaping Contractor,2026-03-13,Access & Height,2,1562.72,Returned / Completed
ORD-6160,Site-091,Facilities Management,2026-03-27,Access & Height,3,5131.62,Returned / Completed
ORD-6161,Site-133,Main Contractor,2025-08-03,Logistics,2,3353.73,Returned / Completed
ORD-6162,Site-106,Self-Employed Trade,2025-11-14,Access & Height,3,2691.07,Quote Requested
ORD-6163,Site-101,Landscaping Contractor,2025-09-26,Demolition,3,3088.93,Returned / Completed
ORD-6164,Site-156,Self-Employed Trade,2025-11-02,Site Setup,2,1508.31,Returned / Completed
ORD-6165,Site-159,M&E Contractor,2025-12-09,Landscaping,3,4014.28,Returned / Completed
ORD-6166,Site-144,Landscaping Contractor,2025-12-28,Site Setup,1,491.53,Returned / Completed
ORD-6167,Site-020,Self-Employed Trade,2026-04-10,Landscaping,2,1342.16,Returned / Completed
ORD-6168,Site-106,Groundworks Sub-contractor,2025-08-14,Landscaping,3,2018.12,Returned / Completed
ORD-6169,Site-078,M&E Contractor,2025-09-27,Landscaping,4,5352.09,Dispatched
ORD-6170,Site-028,Main Contractor,2025-11-03,Fixing,3,2142.13,Returned / Completed
ORD-6171,Site-009,Demolition Specialist,2025-11-18,Finishing,3,5460.17,Returned / Completed
ORD-6172,Site-064,Groundworks Sub-contractor,2026-06-13,Access & Height,3,4235.63,Returned / Completed
ORD-6173,Site-100,Facilities Management,2026-02-04,Groundworks,4,5011.15,Returned / Completed
ORD-6174,Site-030,Demolition Specialist,2025-11-09,Groundworks,4,3523.74,Returned / Completed
ORD-6175,Site-040,Groundworks Sub-contractor,2026-05-13,Site Setup,4,4564.42,Returned / Completed
ORD-6176,Site-077,M&E Contractor,2026-05-11,Finishing,2,1838.85,Returned / Completed
ORD-6177,Site-131,Groundworks Sub-contractor,2025-11-26,Logistics,2,2129.92,Returned / Completed
ORD-6178,Site-046,Self-Employed Trade,2025-08-02,Finishing,3,4246.27,Returned / Completed
ORD-6179,Site-074,Groundworks Sub-contractor,2026-05-21,Groundworks,4,5600.45,Quote Requested
ORD-6180,Site-169,Facilities Management,2025-11-20,Fixing,4,5055.92,Returned / Completed
ORD-6181,Site-011,Landscaping Contractor,2025-08-28,Groundworks,2,1087.4,Quote Requested
ORD-6182,Site-172,Facilities Management,2026-02-10,Demolition,3,3818.1,Returned / Completed
ORD-6183,Site-082,Groundworks Sub-contractor,2025-08-14,Access & Height,1,1749.78,Quote Approved
ORD-6184,Site-109,M&E Contractor,2026-01-20,Logistics,1,2059.02,Returned / Completed
ORD-6185,Site-126,Self-Employed Trade,2025-07-26,Site Setup,3,4512.88,Returned / Completed
ORD-6186,Site-092,Demolition Specialist,2025-10-02,Access & Height,2,1598.36,Quote Approved
ORD-6187,Site-090,Facilities Management,2026-02-06,Demolition,3,3218.41,Returned / Completed
ORD-6188,Site-104,Self-Employed Trade,2025-09-30,Demolition,3,2375.83,Returned / Completed
ORD-6189,Site-093,Demolition Specialist,2025-11-08,Demolition,2,844.63,Returned / Completed
ORD-6190,Site-049,Self-Employed Trade,2026-07-10,Site Setup,4,4993.18,Returned / Completed
ORD-6191,Site-008,Main Contractor,2025-08-28,Finishing,3,4398.87,Quote Requested
ORD-6192,Site-092,Demolition Specialist,2026-04-11,Landscaping,3,3138.29,Returned / Completed
ORD-6193,Site-077,Landscaping Contractor,2026-03-08,Access & Height,1,1353.85,Returned / Completed
ORD-6194,Site-009,Self-Employed Trade,2026-06-04,Groundworks,3,4490.25,Returned / Completed
ORD-6195,Site-003,Facilities Management,2026-05-03,Access & Height,3,4291.22,Quote Requested
ORD-6196,Site-137,Facilities Management,2026-01-03,Access & Height,2,4076.37,Returned / Completed
ORD-6197,Site-166,Groundworks Sub-contractor,2025-09-07,Finishing,3,3626.21,Returned / Completed
ORD-6198,Site-093,Landscaping Contractor,2026-07-01,Landscaping,2,1736.84,Returned / Completed
ORD-6199,Site-126,Groundworks Sub-contractor,2026-03-04,Groundworks,2,1936.76,Returned / Completed
ORD-6200,Site-130,Facilities Management,2025-09-25,Logistics,2,3969.01,Returned / Completed
ORD-6201,Site-024,Groundworks Sub-contractor,2025-08-29,Landscaping,3,3360.94,Returned / Completed
ORD-6202,Site-035,M&E Contractor,2026-06-21,Access & Height,1,2015.24,Quote Requested
ORD-6203,Site-175,Main Contractor,2026-06-01,Logistics,2,2275.67,Returned / Completed
ORD-6204,Site-009,Facilities Management,2026-01-06,Finishing,3,3147.28,Returned / Completed
ORD-6205,Site-067,Groundworks Sub-contractor,2026-07-05,Fixing,3,4489.28,Quote Requested
ORD-6206,Site-088,Groundworks Sub-contractor,2025-08-07,Access & Height,1,1164.08,Quote Requested
ORD-6207,Site-041,Facilities Management,2025-11-10,Fixing,3,4805.33,Returned / Completed
ORD-6208,Site-160,Main Contractor,2025-09-06,Finishing,2,2441.73,Quote Requested
ORD-6209,Site-156,Main Contractor,2025-11-18,Access & Height,2,3102.83,Returned / Completed
ORD-6210,Site-144,Self-Employed Trade,2026-05-03,Access & Height,2,954.88,Returned / Completed
ORD-6211,Site-019,Demolition Specialist,2025-12-09,Logistics,2,2995.0,Returned / Completed
ORD-6212,Site-129,Demolition Specialist,2026-01-11,Site Setup,3,5994.1,Returned / Completed
ORD-6213,Site-079,Demolition Specialist,2026-04-29,Groundworks,1,1647.84,Returned / Completed
ORD-6214,Site-120,Demolition Specialist,2025-10-06,Logistics,2,3714.89,Returned / Completed
ORD-6215,Site-006,Groundworks Sub-contractor,2026-06-11,Landscaping,2,1361.14,Returned / Completed
ORD-6216,Site-034,Landscaping Contractor,2025-09-10,Access & Height,2,606.53,Quote Requested
ORD-6217,Site-084,Self-Employed Trade,2025-09-24,Access & Height,1,1693.64,Returned / Completed
ORD-6218,Site-154,M&E Contractor,2025-08-17,Site Setup,3,2022.67,Returned / Completed
ORD-6219,Site-037,Landscaping Contractor,2026-02-03,Finishing,3,3915.57,Returned / Completed
ORD-6220,Site-123,Self-Employed Trade,2025-12-11,Access & Height,3,3227.77,Returned / Completed
ORD-6221,Site-122,Main Contractor,2025-10-07,Landscaping,2,3247.64,Dispatched
ORD-6222,Site-140,Landscaping Contractor,2026-01-11,Demolition,3,3047.67,Quote Requested
ORD-6223,Site-055,Facilities Management,2025-09-08,Access & Height,1,2022.95,Returned / Completed
ORD-6224,Site-097,M&E Contractor,2025-12-28,Site Setup,3,4458.06,Returned / Completed
ORD-6225,Site-128,Groundworks Sub-contractor,2026-03-23,Groundworks,1,2162.32,Returned / Completed
ORD-6226,Site-175,Landscaping Contractor,2026-04-26,Site Setup,4,5795.7,Returned / Completed
ORD-6227,Site-029,Groundworks Sub-contractor,2026-03-30,Landscaping,3,4368.65,Returned / Completed
ORD-6228,Site-087,Facilities Management,2026-04-29,Finishing,2,3662.42,Quote Requested
ORD-6229,Site-130,Landscaping Contractor,2026-01-25,Landscaping,1,647.89,Quote Approved
ORD-6230,Site-035,Landscaping Contractor,2025-12-07,Logistics,2,1587.06,Returned / Completed
ORD-6231,Site-058,Facilities Management,2025-07-30,Finishing,3,2138.18,Returned / Completed
ORD-6232,Site-117,Landscaping Contractor,2026-02-28,Groundworks,1,749.92,Quote Approved
ORD-6233,Site-099,M&E Contractor,2026-01-27,Logistics,2,3797.74,Returned / Completed
ORD-6234,Site-009,Facilities Management,2025-08-24,Groundworks,3,2697.51,Returned / Completed
ORD-6235,Site-098,Groundworks Sub-contractor,2025-08-19,Site Setup,3,5561.31,Returned / Completed
ORD-6236,Site-058,Landscaping Contractor,2026-01-15,Logistics,2,2435.89,Returned / Completed
ORD-6237,Site-053,Landscaping Contractor,2025-11-15,Fixing,2,1440.55,Returned / Completed
ORD-6238,Site-180,Demolition Specialist,2025-08-05,Demolition,3,3373.91,Returned / Completed
ORD-6239,Site-045,Self-Employed Trade,2025-10-21,Finishing,2,1416.98,Returned / Completed
ORD-6240,Site-067,Main Contractor,2026-05-10,Access & Height,2,2172.21,On Hire
ORD-6241,Site-163,M&E Contractor,2025-10-10,Access & Height,2,2502.36,Quote Requested
ORD-6242,Site-076,M&E Contractor,2025-12-11,Landscaping,2,2457.58,Quote Approved
ORD-6243,Site-171,Groundworks Sub-contractor,2026-03-06,Access & Height,2,1168.47,Returned / Completed
ORD-6244,Site-122,Groundworks Sub-contractor,2025-11-29,Site Setup,3,4219.35,Returned / Completed
ORD-6245,Site-175,Demolition Specialist,2025-10-26,Logistics,1,1298.78,Quote Approved
ORD-6246,Site-128,Main Contractor,2025-12-29,Fixing,1,1893.27,Quote Requested
ORD-6247,Site-177,Facilities Management,2026-03-27,Finishing,1,1024.21,Quote Approved
ORD-6248,Site-134,Demolition Specialist,2025-09-20,Demolition,2,1310.08,Returned / Completed
ORD-6249,Site-139,Demolition Specialist,2025-08-10,Fixing,3,1841.33,Returned / Completed
ORD-6250,Site-014,Facilities Management,2025-08-16,Access & Height,2,2071.64,Returned / Completed
ORD-6251,Site-157,M&E Contractor,2025-12-18,Landscaping,3,3242.1,Returned / Completed
ORD-6252,Site-153,M&E Contractor,2026-04-02,Groundworks,2,2587.18,Quote Requested
ORD-6253,Site-038,Self-Employed Trade,2025-10-01,Logistics,2,2632.03,Returned / Completed
ORD-6254,Site-015,Facilities Management,2026-05-25,Site Setup,2,952.95,Returned / Completed
ORD-6255,Site-055,Groundworks Sub-contractor,2025-11-29,Access & Height,2,3614.1,Returned / Completed
ORD-6256,Site-111,Demolition Specialist,2026-03-19,Site Setup,1,1551.39,Returned / Completed
ORD-6257,Site-024,Groundworks Sub-contractor,2026-05-18,Groundworks,2,3084.45,Returned / Completed
ORD-6258,Site-077,Main Contractor,2025-09-12,Finishing,3,1917.82,Returned / Completed
ORD-6259,Site-077,Self-Employed Trade,2026-04-07,Landscaping,3,2003.02,Returned / Completed
ORD-6260,Site-091,Main Contractor,2025-10-06,Groundworks,2,2456.47,Returned / Completed
ORD-6261,Site-062,Main Contractor,2026-04-23,Access & Height,4,3323.5,Returned / Completed
ORD-6262,Site-137,Landscaping Contractor,2026-03-12,Demolition,2,1035.97,Returned / Completed
ORD-6263,Site-008,M&E Contractor,2026-05-22,Landscaping,2,2201.0,Returned / Completed
ORD-6264,Site-063,Main Contractor,2026-02-16,Finishing,1,1390.34,Returned / Completed
ORD-6265,Site-105,Main Contractor,2026-05-26,Groundworks,4,4245.8,Returned / Completed
ORD-6266,Site-123,Main Contractor,2026-04-29,Fixing,3,4953.06,On Hire
ORD-6267,Site-042,Self-Employed Trade,2025-09-10,Finishing,2,3669.71,Returned / Completed
ORD-6268,Site-132,Demolition Specialist,2025-11-03,Demolition,3,4573.58,Returned / Completed
ORD-6269,Site-176,Facilities Management,2025-08-26,Groundworks,4,4225.48,Returned / Completed
ORD-6270,Site-079,Main Contractor,2026-01-21,Fixing,2,2186.69,Returned / Completed
ORD-6271,Site-159,Main Contractor,2026-05-20,Landscaping,2,1127.82,Returned / Completed
ORD-6272,Site-086,Groundworks Sub-contractor,2026-02-27,Demolition,5,6920.75,Returned / Completed
ORD-6273,Site-045,Main Contractor,2025-12-26,Access & Height,2,3187.14,Dispatched
ORD-6274,Site-076,Demolition Specialist,2025-08-13,Demolition,3,3975.88,Returned / Completed
ORD-6275,Site-175,Main Contractor,2025-10-21,Fixing,1,1305.97,Quote Approved
ORD-6276,Site-070,Groundworks Sub-contractor,2025-11-28,Access & Height,3,3799.58,Quote Approved
ORD-6277,Site-174,Facilities Management,2025-12-27,Demolition,3,4687.48,Returned / Completed
ORD-6278,Site-016,Groundworks Sub-contractor,2025-07-27,Landscaping,2,2033.6,Returned / Completed
ORD-6279,Site-122,Groundworks Sub-contractor,2025-08-01,Access & Height,1,1433.85,Returned / Completed
ORD-6280,Site-116,Landscaping Contractor,2025-12-03,Site Setup,3,5090.79,Returned / Completed
ORD-6281,Site-074,Self-Employed Trade,2026-02-04,Groundworks,2,2157.64,Returned / Completed
ORD-6282,Site-174,Self-Employed Trade,2026-07-09,Groundworks,3,3230.18,Returned / Completed
ORD-6283,Site-087,Demolition Specialist,2026-02-08,Demolition,2,3545.9,Returned / Completed
ORD-6284,Site-147,Facilities Management,2026-05-03,Finishing,3,2321.71,On Hire
ORD-6285,Site-009,Facilities Management,2026-02-25,Fixing,3,5147.78,Returned / Completed
ORD-6286,Site-058,Demolition Specialist,2026-02-18,Demolition,3,4064.24,Returned / Completed
ORD-6287,Site-162,Self-Employed Trade,2026-06-05,Access & Height,3,1495.3,Quote Approved
