stock_code,category,subcategory,product_name,brand,depot,purchase_date,capex_gbp,book_value_gbp,age_years,condition,status,utilisation_pct_ytd,day_rate_gbp,last_service_date,next_service_due,min_stock_level,current_units_at_depot
P-01027,Plant,Excavators,8 Ton Excavator,City Hire Fleet,London South,2025-11-26,11454.92,10005.01,0.63,Good,On Hire,59.6,107.7,2026-05-26,2026-11-22,1,1
P-01028,Plant,Excavators,8 Ton Excavator,City Hire Fleet,Manchester,2025-06-05,23877.07,18578.32,1.11,Fair,On Hire,38.1,395.4,2026-06-25,2026-12-22,1,1
P-01029,Plant,Excavators,8 Ton Excavator,City Hire Fleet,London South,2025-11-27,10883.53,9511.91,0.63,Excellent,Auction Pending,89.6,139.92,2026-01-03,2026-07-02,1,1
P-01030,Plant,Excavators,8 Ton Excavator,City Hire Fleet,Manchester,2025-04-04,57285.07,42626.37,1.28,Excellent,Workshop,62.9,681.93,2026-06-02,2026-11-29,1,1
P-01031,Plant,Excavators,8 Ton Excavator,City Hire Fleet,Bristol,2022-01-22,52752.37,5492.03,4.48,Good,Available,58.3,678.75,2025-12-26,2026-06-24,1,1
P-01032,Plant,Excavators,8 Ton Excavator,City Hire Fleet,Leeds,2025-05-23,24912.35,19206.4,1.15,Good,Auction Pending,84.1,385.64,2026-02-16,2026-08-15,1,1
P-01033,Plant,Excavators,20 Ton Excavator,City Hire Fleet,London North,2026-03-05,41298.12,38311.08,0.36,Fair,On Hire,35.6,358.68,2026-03-06,2026-09-02,1,1
P-01034,Plant,Trailers,Plant Trailer,City Hire Fleet,London South,2022-09-02,57123.69,12927.17,3.87,Good,On Hire,62.5,479.69,2026-02-19,2026-08-18,1,1
P-01035,Plant,Dumpers,3 Ton Straight Dumper,City Hire Fleet,Leeds,2024-02-08,45470.27,23345.56,2.43,Excellent,On Hire,51.8,484.54,2026-01-24,2026-07-23,1,1
P-01036,Plant,Dumpers,6 Ton Straight Dumper,City Hire Fleet,London North,2022-09-09,44793.54,10308.65,3.85,Excellent,On Hire,58.1,636.59,2026-01-03,2026-07-02,1,1
P-01037,Plant,Dumpers,6 Ton Straight Dumper,City Hire Fleet,London North,2023-04-19,64777.5,22787.48,3.24,Fair,On Hire,71.7,757.59,2026-04-16,2026-10-13,1,1
P-01038,Plant,Dumpers,1t Skip Loading Dumper,City Hire Fleet,Leeds,2023-12-31,55523.46,27320.58,2.54,Good,Available,67.3,815.01,2026-02-08,2026-08-07,1,1
P-01039,Plant,Dumpers,1t Skip Loading Dumper,City Hire Fleet,London North,2023-05-07,25064.59,9064.45,3.19,Good,On Hire,45.9,239.48,2026-06-15,2026-12-12,1,1
P-01040,Plant,Dumpers,550kg Tracked Dumper,City Hire Fleet,Leeds,2023-01-24,20005.89,6105.91,3.47,Fair,On Hire,34.7,261.16,2026-01-20,2026-07-19,1,1
P-01041,Plant,Dumpers,550kg Tracked Dumper,City Hire Fleet,London North,2025-01-17,59604.18,41837.24,1.49,Excellent,On Hire,66.5,936.45,2026-05-05,2026-11-01,1,1
P-01042,Plant,Dumpers,550kg Tracked Dumper,City Hire Fleet,Bristol,2022-11-19,63848.48,17177.87,3.65,Good,On Hire,57.9,868.92,2026-03-23,2026-09-19,1,1
P-01043,Plant,Telehandlers,4m Telehandler,City Hire Fleet,Bristol,2026-01-12,61867.9,55630.26,0.5,Good,On Hire,60.1,760.84,2026-04-11,2026-10-08,1,1
P-01044,Plant,Telehandlers,14m Telehandler,City Hire Fleet,Birmingham,2024-09-22,28785.14,18359.4,1.81,Excellent,Auction Pending,55.6,302.11,2026-07-04,2026-12-31,1,1
P-01045,Plant,Telehandlers,17m Telehandler,City Hire Fleet,London South,2024-06-21,52466.63,30790.01,2.07,Fair,Available,73.7,931.92,2026-06-05,2026-12-02,1,1
P-01046,Plant,Telehandlers,10.5m Telehandler,City Hire Fleet,Manchester,2024-02-22,9412.82,4904.98,2.39,Fair,Available,53.5,156.64,2026-04-20,2026-10-17,1,1
P-01047,Plant,Telehandlers,10.5m Telehandler,City Hire Fleet,Manchester,2021-11-28,22145.53,2214.55,4.63,Excellent,On Hire,74.8,358.0,2026-07-05,2027-01-01,1,1
P-01048,Plant,Telehandlers,6m Telehandler,City Hire Fleet,London South,2024-06-29,25395.88,15014.88,2.04,Excellent,Available,81.3,252.21,2026-05-17,2026-11-13,1,1
P-01049,Plant,Telehandlers,6m Telehandler,City Hire Fleet,Manchester,2024-08-12,23880.37,14694.61,1.92,Good,On Hire,84.9,392.51,2026-03-06,2026-09-02,1,1
P-01050,Plant,Telehandlers,6m Telehandler,City Hire Fleet,London South,2024-08-06,61536.52,37663.72,1.94,Good,On Hire,73.2,1097.53,2026-05-09,2026-11-05,1,1
P-01051,Plant,Telehandlers,6m Telehandler,City Hire Fleet,Bristol,2026-03-29,14178.95,13339.87,0.3,Excellent,On Hire,42.3,240.97,2026-02-09,2026-08-08,1,1
P-01052,Plant,Vibrating Rollers,1200mm Roller,City Hire Fleet,Bristol,2025-01-10,10530.03,7350.83,1.51,Good,On Hire,72.0,183.25,2026-03-03,2026-08-30,1,1
P-01053,Plant,Vibrating Rollers,1200mm Roller,City Hire Fleet,Bristol,2022-04-28,46225.82,7244.16,4.22,Excellent,Available,59.5,761.81,2026-04-21,2026-10-18,1,1
P-01054,Plant,Vibrating Rollers,Pedestrian Roller,City Hire Fleet,Manchester,2024-10-08,36905.98,23862.5,1.77,Good,Available,67.0,499.86,2026-04-22,2026-10-19,1,1
P-01055,Plant,Vibrating Rollers,Pedestrian Roller,City Hire Fleet,Bristol,2025-05-19,31965.44,24573.98,1.16,Excellent,Workshop,82.6,430.87,2026-02-07,2026-08-06,1,1
P-01056,Plant,Vibrating Rollers,Pedestrian Roller,City Hire Fleet,Bristol,2026-06-15,25320.87,24904.64,0.08,Good,On Hire,55.3,284.16,2025-12-25,2026-06-23,1,1
P-01057,Plant,Vibrating Rollers,Pedestrian Roller,City Hire Fleet,Leeds,2023-12-24,33203.11,16210.4,2.56,Excellent,Workshop,66.6,293.78,2025-12-23,2026-06-21,1,1
P-01058,Plant,Vibrating Rollers,Pedestrian Roller,City Hire Fleet,London South,2023-07-26,45839.67,18587.04,2.97,Good,On Hire,78.4,469.69,2026-06-21,2026-12-18,1,1
P-01059,Plant,Vibrating Rollers,Pedestrian Roller,City Hire Fleet,London North,2025-05-04,16399.18,12472.36,1.2,Good,On Hire,98,276.51,2025-12-30,2026-06-28,1,1
P-01060,Plant,Vibrating Rollers,800mm Roller,City Hire Fleet,London South,2025-05-13,48945.72,37466.94,1.17,Excellent,On Hire,74.5,728.13,2026-04-03,2026-09-30,1,1
P-01061,Plant,Vibrating Rollers,800mm Roller,City Hire Fleet,Leeds,2022-03-31,57045.11,8064.46,4.29,Good,On Hire,81.3,485.01,2025-12-21,2026-06-19,1,1
P-01062,Plant,Vibrating Rollers,800mm Roller,City Hire Fleet,Manchester,2025-01-21,60295.79,42454.84,1.48,Good,On Hire,47.0,1078.02,2026-06-10,2026-12-07,1,1
P-01063,Plant,Vibrating Rollers,800mm Roller,City Hire Fleet,Manchester,2023-02-12,26085.98,8233.16,3.42,Fair,Workshop,63.5,351.61,2026-03-07,2026-09-03,1,1
P-01064,Plant,Vibrating Rollers,800mm Roller,City Hire Fleet,London South,2025-07-25,50388.36,40586.79,0.97,Fair,On Hire,47.9,542.84,2026-05-09,2026-11-05,1,1
P-01065,Plant,Concrete Crushers,Red Rhino 4000 Mini Concrete Crusher,City Hire Fleet,Birmingham,2023-09-27,43724.66,19238.85,2.8,Excellent,On Hire,62.1,585.98,2026-05-06,2026-11-02,1,1
P-01066,Plant,Concrete Crushers,Red Rhino 4000 Mini Concrete Crusher,City Hire Fleet,Leeds,2025-09-05,16597.35,13750.79,0.86,Excellent,On Hire,68.6,201.64,2026-06-05,2026-12-02,1,1
P-01067,Plant,Concrete Crushers,Red Rhino 4000 Mini Concrete Crusher,City Hire Fleet,Bristol,2024-08-07,38928.84,23847.91,1.94,Needs Assessment,On Hire,54.8,319.03,2025-12-29,2026-06-27,1,1
P-01068,Plant,Concrete Crushers,Red Rhino 4000 Mini Concrete Crusher,City Hire Fleet,Birmingham,2022-03-01,40814.35,5099.0,4.38,Fair,On Hire,67.8,674.84,2026-04-15,2026-10-12,1,1
P-01069,Plant,Concrete Crushers,Red Rhino 4000 Mini Concrete Crusher,City Hire Fleet,Manchester,2021-10-08,31884.21,3188.42,4.77,Excellent,On Hire,62.7,394.04,2026-05-19,2026-11-15,1,1
P-01070,Plant,Concrete Crushers,Forst TR6D Tracked Wood Chipper,City Hire Fleet,Leeds,2024-04-10,27159.38,14866.97,2.26,Excellent,Available,45.4,344.22,2026-04-02,2026-09-29,1,1
PA-01071,Powered Access,Slab Scissor Lifts,12m Electric Scissor Lift,City Hire Fleet,Leeds,2022-12-19,49593.4,14157.9,3.57,Good,Available,78.6,826.65,2026-06-23,2026-12-20,1,1
PA-01072,Powered Access,Slab Scissor Lifts,12m Electric Scissor Lift,City Hire Fleet,Manchester,2025-06-08,12821.63,9997.36,1.1,Excellent,On Hire,52.7,200.18,2026-05-21,2026-11-17,1,1
PA-01073,Powered Access,Slab Scissor Lifts,5m Electric Scissor Lift,City Hire Fleet,Leeds,2024-11-23,66152.75,44440.15,1.64,Good,On Hire,68.3,1190.69,2026-07-10,2027-01-06,1,1
PA-01074,Powered Access,Slab Scissor Lifts,5m Electric Scissor Lift,City Hire Fleet,London North,2024-06-29,26040.88,15396.22,2.04,Fair,On Hire,53.7,455.61,2026-01-29,2026-07-28,1,1
PA-01075,Powered Access,Slab Scissor Lifts,5m Electric Scissor Lift,City Hire Fleet,Bristol,2025-05-03,72781.39,55313.86,1.2,Needs Assessment,On Hire,55.5,920.71,2026-06-15,2026-12-12,1,1
PA-01076,Powered Access,Slab Scissor Lifts,5m Electric Scissor Lift,City Hire Fleet,Leeds,2025-01-07,67284.26,46859.34,1.52,Good,On Hire,55.9,1061.61,2026-02-09,2026-08-08,1,1
PA-01077,Powered Access,Slab Scissor Lifts,10m Electric Scissor Lift,City Hire Fleet,Manchester,2024-09-16,17215.5,10923.59,1.83,Needs Assessment,Available,74.9,171.87,2026-04-09,2026-10-06,1,1
PA-01078,Powered Access,Slab Scissor Lifts,10m Electric Scissor Lift,City Hire Fleet,Leeds,2023-02-19,61486.7,19642.05,3.4,Fair,Available,64.9,1014.71,2026-06-18,2026-12-15,1,1
PA-01079,Powered Access,Slab Scissor Lifts,8m Electric Scissor Lift,City Hire Fleet,Leeds,2021-12-09,18200.18,1820.02,4.6,Good,On Hire,87.3,237.69,2026-03-27,2026-09-23,1,1
PA-01080,Powered Access,Slab Scissor Lifts,8m Electric Scissor Lift,City Hire Fleet,London North,2024-07-17,9961.56,5987.85,1.99,Good,On Hire,60.5,115.77,2026-03-11,2026-09-07,1,1
PA-01081,Powered Access,Slab Scissor Lifts,8m Electric Scissor Lift,City Hire Fleet,Birmingham,2021-10-22,43940.19,4394.02,4.73,Good,On Hire,68.0,755.6,2026-01-29,2026-07-28,1,1
PA-01082,Powered Access,Slab Scissor Lifts,8m Electric Scissor Lift,City Hire Fleet,Bristol,2022-02-10,45745.81,5238.84,4.43,Excellent,On Hire,70.1,755.59,2026-01-08,2026-07-07,1,1
PA-01083,Powered Access,Slab Scissor Lifts,8m Electric Scissor Lift,City Hire Fleet,Bristol,2021-10-18,80031.26,8003.13,4.74,Good,Available,60.2,909.47,2026-02-19,2026-08-18,1,1
PA-01084,Powered Access,Slab Scissor Lifts,16m Electric Scissor Lift,City Hire Fleet,Birmingham,2021-09-07,33701.08,3370.11,4.85,Excellent,On Hire,78.1,566.29,2026-04-15,2026-10-12,1,1
PA-01085,Powered Access,Slab Scissor Lifts,16m Electric Scissor Lift,City Hire Fleet,Leeds,2022-07-10,75888.16,14928.14,4.02,Good,On Hire,47.1,1028.42,2026-05-14,2026-11-10,1,1
PA-01086,Powered Access,Slab Scissor Lifts,16m Electric Scissor Lift,City Hire Fleet,Manchester,2025-02-08,61486.31,43899.54,1.43,Fair,Available,57.2,549.11,2026-03-11,2026-09-07,1,1
PA-01087,Powered Access,Slab Scissor Lifts,16m Electric Scissor Lift,City Hire Fleet,Bristol,2025-03-19,39734.49,29218.46,1.32,Excellent,On Hire,63.9,713.88,2026-02-23,2026-08-22,1,1
PA-01088,Powered Access,Low Level Access,Eco Lift,City Hire Fleet,Birmingham,2024-08-07,35737.6,21892.95,1.94,Excellent,On Hire,83.7,543.67,2026-04-27,2026-10-24,1,1
PA-01089,Powered Access,Low Level Access,Eco Lift,City Hire Fleet,Leeds,2024-09-07,18086.16,11386.85,1.85,Good,On Hire,39.9,275.74,2026-05-20,2026-11-16,1,1
PA-01090,Powered Access,Low Level Access,Eco Lift,City Hire Fleet,London South,2022-03-12,48872.4,6400.28,4.35,Excellent,On Hire,57.7,567.35,2026-06-19,2026-12-16,1,1
PA-01091,Powered Access,Low Level Access,Eco Lift,City Hire Fleet,Birmingham,2024-10-04,10075.28,6492.34,1.78,Good,Auction Pending,52.0,93.33,2026-02-23,2026-08-22,1,1
PA-01092,Powered Access,Low Level Access,Eco Lift,City Hire Fleet,Bristol,2021-08-02,66212.21,6621.22,4.95,Excellent,On Hire,60.6,846.66,2026-07-11,2027-01-07,1,1
PA-01093,Powered Access,Low Level Access,Nano,City Hire Fleet,Manchester,2025-06-03,82377.82,64006.44,1.12,Good,On Hire,62.6,1134.36,2026-06-28,2026-12-25,1,1
PA-01094,Powered Access,Low Level Access,Nano,City Hire Fleet,Birmingham,2022-08-10,13074.29,2793.96,3.93,Excellent,On Hire,90.8,137.04,2026-02-20,2026-08-19,1,1
PA-01095,Powered Access,Low Level Access,Nano,City Hire Fleet,Manchester,2023-04-30,67097.7,24008.11,3.21,Good,On Hire,43.6,833.84,2026-03-03,2026-08-30,1,1
PA-01096,Powered Access,Low Level Access,Snorkel S3010P 5m Scissor Lift,City Hire Fleet,Leeds,2024-01-19,32208.9,16183.87,2.49,Excellent,Available,47.7,503.34,2026-02-08,2026-08-07,1,1
PA-01097,Powered Access,Low Level Access,Snorkel S3010P 5m Scissor Lift,City Hire Fleet,London South,2022-12-12,25037.91,7051.77,3.59,Excellent,On Hire,58.6,313.1,2026-06-25,2026-12-22,1,1
PA-01098,Powered Access,Low Level Access,Snorkel S3010P 5m Scissor Lift,City Hire Fleet,Leeds,2023-02-15,44713.35,14185.77,3.41,Excellent,On Hire,56.1,742.07,2026-05-02,2026-10-29,1,1
PA-01099,Powered Access,Low Level Access,Snorkel S3010P 5m Scissor Lift,City Hire Fleet,London South,2026-01-21,61241.25,55368.8,0.48,Good,Available,84.9,823.43,2026-01-26,2026-07-25,1,1
PA-01100,Powered Access,Low Level Access,Snorkel S3010P 5m Scissor Lift,City Hire Fleet,London North,2022-10-28,20323.19,5222.78,3.72,Excellent,On Hire,51.7,323.67,2026-06-08,2026-12-05,1,1
PA-01101,Powered Access,Low Level Access,Peco Lift,City Hire Fleet,Leeds,2022-04-04,71642.26,10285.08,4.28,Good,On Hire,76.2,768.18,2026-04-28,2026-10-25,1,1
PA-01102,Powered Access,Low Level Access,Peco Lift,City Hire Fleet,Manchester,2023-06-06,46528.44,17591.57,3.11,Good,On Hire,55.8,653.13,2026-07-04,2026-12-31,1,1
PA-01103,Powered Access,Low Level Access,Peco Lift,City Hire Fleet,Leeds,2026-04-24,15940.84,15224.59,0.22,Fair,On Hire,88.9,219.39,2026-07-09,2027-01-05,1,1
PA-01104,Powered Access,Low Level Access,Peco Lift,City Hire Fleet,Manchester,2022-03-06,66476.43,8487.13,4.36,Fair,On Hire,56.7,652.46,2026-01-29,2026-07-28,1,1
PA-01105,Powered Access,Low Level Access,Peco Lift,City Hire Fleet,Birmingham,2023-03-05,42127.26,13780.81,3.36,Excellent,On Hire,77.5,381.08,2026-04-01,2026-09-28,1,1
PA-01106,Powered Access,Cherry Pickers,40m Articulating Boom Lift,City Hire Fleet,Manchester,2024-08-09,40285.03,24722.87,1.93,Fair,On Hire,29.1,543.89,2026-01-26,2026-07-25,1,1
PA-01107,Powered Access,Cherry Pickers,40m Articulating Boom Lift,City Hire Fleet,London North,2023-11-27,15692.54,7429.24,2.63,Good,Available,62.9,210.69,2026-03-05,2026-09-01,1,1
PA-01108,Powered Access,Cherry Pickers,Nifty Lift HR21 20.8m Hybrid Boom Lift,Niftylift,Manchester,2026-02-24,23256.27,21459.48,0.39,Good,On Hire,69.9,362.8,2026-01-02,2026-07-01,1,1
PA-01109,Powered Access,Cherry Pickers,Nifty Lift HR21 20.8m Hybrid Boom Lift,Niftylift,London North,2025-04-25,29296.27,22136.74,1.22,Excellent,Workshop,70.8,418.94,2026-03-12,2026-09-08,1,1
PA-01110,Powered Access,Cherry Pickers,Nifty Lift HR21 20.8m Hybrid Boom Lift,Niftylift,London North,2021-12-22,27186.61,2718.66,4.56,Good,On Hire,71.5,242.83,2026-02-23,2026-08-22,1,1
PA-01111,Powered Access,Cherry Pickers,Nifty Lift HR21 20.8m Hybrid Boom Lift,Niftylift,Leeds,2021-09-26,78382.67,7838.27,4.8,Excellent,Workshop,56.2,1179.98,2026-03-09,2026-09-05,1,1
PA-01112,Powered Access,Cherry Pickers,17.5m Articulating Boom Lift,City Hire Fleet,Bristol,2021-10-10,45669.97,4567.0,4.76,Excellent,On Hire,64.7,452.41,2026-03-20,2026-09-16,1,1
PA-01113,Powered Access,Cherry Pickers,17.5m Articulating Boom Lift,City Hire Fleet,Manchester,2023-02-04,47626.31,14822.87,3.44,Excellent,On Hire,83.3,756.17,2025-12-24,2026-06-22,1,1
PA-01114,Powered Access,Cherry Pickers,17.5m Articulating Boom Lift,City Hire Fleet,Bristol,2024-12-15,71361.76,48799.71,1.58,Good,On Hire,43.8,1041.84,2026-04-29,2026-10-26,1,1
PA-01115,Powered Access,Cherry Pickers,17.5m Articulating Boom Lift,City Hire Fleet,Manchester,2021-08-08,20293.25,2029.33,4.94,Good,On Hire,50.5,227.65,2026-02-25,2026-08-24,1,1
PA-01116,Powered Access,Cherry Pickers,Nifty Lift HR17 17m Hybrid Boom Lift,Niftylift,Manchester,2022-07-18,27149.22,5459.6,3.99,Excellent,On Hire,59.9,419.38,2025-12-07,2026-06-05,1,1
PA-01117,Powered Access,Cherry Pickers,Nifty Lift HR17 17m Hybrid Boom Lift,Niftylift,London South,2022-07-02,78420.69,15082.55,4.04,Good,Available,32.3,656.4,2026-01-29,2026-07-28,1,1
PA-01118,Powered Access,Cherry Pickers,24m Articulating Boom Lift,City Hire Fleet,Manchester,2023-02-23,34231.6,11010.38,3.39,Excellent,On Hire,91.4,585.51,2025-12-10,2026-06-08,1,1
PA-01119,Powered Access,Cherry Pickers,24m Articulating Boom Lift,City Hire Fleet,Birmingham,2026-05-15,63905.73,61769.7,0.17,Excellent,On Hire,45.8,953.92,2026-03-16,2026-09-12,1,1
PA-01120,Powered Access,Cherry Pickers,24m Articulating Boom Lift,City Hire Fleet,Bristol,2022-10-24,15103.96,3848.41,3.73,Good,On Hire,73.9,168.66,2026-01-23,2026-07-22,1,1
PA-01121,Powered Access,Cherry Pickers,24m Articulating Boom Lift,City Hire Fleet,Leeds,2022-06-05,76445.34,13571.67,4.11,Good,On Hire,45.6,831.25,2026-05-15,2026-11-11,1,1
PA-01122,Powered Access,Cherry Pickers,24m Articulating Boom Lift,City Hire Fleet,Leeds,2025-03-07,65754.24,47919.53,1.36,Good,On Hire,64.3,592.12,2026-06-19,2026-12-16,1,1
PA-01123,Powered Access,Cherry Pickers,Nifty Lift HR12 12.2m Bi Fuel Boom Lift,Niftylift,Birmingham,2022-07-25,31759.42,6508.51,3.98,Good,On Hire,75.2,331.63,2026-04-14,2026-10-11,1,1
PA-01124,Powered Access,Cherry Pickers,Nifty Lift HR12 12.2m Bi Fuel Boom Lift,Niftylift,London South,2024-02-23,52010.53,27130.97,2.39,Excellent,Available,65.2,869.01,2026-06-01,2026-11-28,1,1
PA-01125,Powered Access,Cherry Pickers,Nifty Lift HR15 15.5m Hybrid Boom Lift,Niftylift,Manchester,2022-08-16,27303.06,5924.39,3.92,Excellent,On Hire,69.6,220.99,2026-05-10,2026-11-06,1,1
PA-01126,Powered Access,Cherry Pickers,Nifty Lift HR15 15.5m Hybrid Boom Lift,Niftylift,London South,2021-12-11,44359.25,4435.93,4.59,Excellent,On Hire,58.9,774.17,2026-02-25,2026-08-24,1,1
PA-01127,Powered Access,Cherry Pickers,Nifty Lift HR15 15.5m Hybrid Boom Lift,Niftylift,London South,2023-02-28,31735.72,10294.55,3.38,Needs Assessment,On Hire,83.8,524.7,2026-04-28,2026-10-25,1,1
PA-01128,Powered Access,Cherry Pickers,Nifty Lift HR15 15.5m Hybrid Boom Lift,Niftylift,Birmingham,2025-11-09,27027.63,23354.83,0.68,Needs Assessment,On Hire,57.9,296.01,2026-02-17,2026-08-16,1,1
PA-01129,Powered Access,Cherry Pickers,Nifty Lift HR15 15.5m Hybrid Boom Lift,Niftylift,London North,2021-10-20,59025.47,5902.55,4.74,Fair,Available,60.2,912.05,2026-01-05,2026-07-04,1,1
PA-01130,Powered Access,Cherry Pickers,Nifty Lift HR28 28m Hybrid Boom Lift,Niftylift,London South,2022-02-08,69713.37,7907.22,4.43,Good,On Hire,80.9,990.55,2026-04-15,2026-10-12,1,1
PA-01131,Powered Access,Cherry Pickers,Nifty Lift HR28 28m Hybrid Boom Lift,Niftylift,Leeds,2022-08-27,66423.88,14813.44,3.88,Good,On Hire,65.3,736.6,2026-06-20,2026-12-17,1,1
PA-01132,Powered Access,Cherry Pickers,Nifty Lift HR28 28m Hybrid Boom Lift,Niftylift,London North,2023-12-26,11535.7,5644.59,2.55,Fair,On Hire,42.0,129.97,2026-06-11,2026-12-08,1,1
PA-01133,Powered Access,Cherry Pickers,13.5m Electric Boom Lift,City Hire Fleet,Birmingham,2025-06-21,24260.4,19089.28,1.07,Fair,On Hire,69.5,256.43,2026-03-08,2026-09-04,1,1
PA-01134,Powered Access,Cherry Pickers,13.5m Electric Boom Lift,City Hire Fleet,Leeds,2021-10-31,80758.27,8075.83,4.71,Fair,Auction Pending,35.1,1295.55,2026-04-30,2026-10-27,1,1
PA-01135,Powered Access,Cherry Pickers,13.5m Electric Boom Lift,City Hire Fleet,Leeds,2023-10-30,82179.89,37645.14,2.71,Needs Assessment,Workshop,86.1,1452.34,2026-01-10,2026-07-09,1,1
PA-01136,Powered Access,Cherry Pickers,13.5m Electric Boom Lift,City Hire Fleet,London North,2021-12-11,51355.76,5135.58,4.59,Excellent,On Hire,91.2,474.32,2026-04-04,2026-10-01,1,1
