date,depot,category,fleet_units,units_on_hire,units_in_workshop,units_available,utilisation_pct,workshop_pct
2025-07-15,London South,Painting & Decorating,3,2,1,0,66.7,33.3
2025-07-15,London South,Consumables,5,4,1,0,80.0,20.0
2025-07-15,London South,Climate Control,4,3,1,0,75.0,25.0
2025-07-15,London South,"Safety, Ventilation & Extraction",2,1,0,1,50.0,0.0
2025-07-15,London South,Propping & Support,1,1,0,0,100.0,0.0
2025-07-15,London South,Lighting,1,1,0,0,100.0,0.0
2025-07-15,London South,Fencing & Barriers,3,2,1,0,66.7,33.3
2025-07-15,London South,Fixing & Fastening,3,2,1,0,66.7,33.3
2025-07-15,London South,Concreting & Compaction,9,7,2,0,77.8,22.2
2025-07-15,London South,Fuel & Gas,2,1,1,0,50.0,50.0
2025-07-15,London South,Survey & Location,4,3,1,0,75.0,25.0
2025-07-15,London South,Site Equipment & Groundworks,5,3,1,1,60.0,20.0
2025-07-15,London South,Power & Electrics,5,4,1,0,80.0,20.0
2025-07-15,Birmingham,Plant,7,4,1,2,57.1,14.3
2025-07-15,Birmingham,Powered Access,14,8,3,3,57.1,21.4
2025-07-15,Birmingham,Breakers & Drills,53,36,12,5,67.9,22.6
2025-07-15,Birmingham,Material Handling & Logistics,23,19,5,0,82.6,21.7
2025-07-15,Birmingham,Lifting Equipment,28,24,7,0,85.7,25.0
2025-07-15,Birmingham,"Accommodation, Storage & Welfare",23,14,5,4,60.9,21.7
2025-07-15,Birmingham,Cutting & Grinding,27,18,7,2,66.7,25.9
2025-07-15,Birmingham,Access,5,3,1,1,60.0,20.0
2025-07-15,Birmingham,Cleaning,8,5,2,1,62.5,25.0
2025-07-15,Birmingham,Sanding & Woodworking,12,8,3,1,66.7,25.0
2025-07-15,Birmingham,Landscaping & Gardening,5,3,1,1,60.0,20.0
2025-07-15,Birmingham,Mechanical & Electrical,3,1,1,1,33.3,33.3
2025-07-15,Birmingham,Painting & Decorating,2,1,0,1,50.0,0.0
2025-07-15,Birmingham,Consumables,2,1,0,1,50.0,0.0
2025-07-15,Birmingham,Climate Control,3,2,1,0,66.7,33.3
2025-07-15,Birmingham,"Safety, Ventilation & Extraction",5,3,1,1,60.0,20.0
2025-07-15,Birmingham,Propping & Support,1,1,0,0,100.0,0.0
2025-07-15,Birmingham,Lighting,1,1,0,0,100.0,0.0
2025-07-15,Birmingham,Fencing & Barriers,2,2,0,0,100.0,0.0
2025-07-15,Birmingham,Fixing & Fastening,5,3,1,1,60.0,20.0
2025-07-15,Birmingham,Concreting & Compaction,3,2,1,0,66.7,33.3
2025-07-15,Birmingham,Fuel & Gas,3,2,1,0,66.7,33.3
2025-07-15,Birmingham,Survey & Location,4,3,1,0,75.0,25.0
2025-07-15,Birmingham,Site Equipment & Groundworks,5,4,1,0,80.0,20.0
2025-07-15,Birmingham,Power & Electrics,4,3,1,0,75.0,25.0
2025-07-15,Manchester,Plant,12,9,3,0,75.0,25.0
2025-07-15,Manchester,Powered Access,22,15,5,2,68.2,22.7
2025-07-15,Manchester,Breakers & Drills,43,27,11,5,62.8,25.6
2025-07-15,Manchester,Material Handling & Logistics,35,28,8,0,80.0,22.9
2025-07-15,Manchester,Lifting Equipment,30,21,6,3,70.0,20.0
2025-07-15,Manchester,"Accommodation, Storage & Welfare",21,16,5,0,76.2,23.8
2025-07-15,Manchester,Cutting & Grinding,36,22,9,5,61.1,25.0
2025-07-15,Manchester,Access,1,1,0,0,100.0,0.0
2025-07-15,Manchester,Cleaning,7,5,2,0,71.4,28.6
2025-07-15,Manchester,Sanding & Woodworking,4,3,1,0,75.0,25.0
2025-07-15,Manchester,Landscaping & Gardening,3,2,1,0,66.7,33.3
2025-07-15,Manchester,Mechanical & Electrical,3,2,1,0,66.7,33.3
2025-07-15,Manchester,Painting & Decorating,2,2,0,0,100.0,0.0
2025-07-15,Manchester,Consumables,6,4,1,1,66.7,16.7
2025-07-15,Manchester,Climate Control,3,2,1,0,66.7,33.3
2025-07-15,Manchester,"Safety, Ventilation & Extraction",6,4,1,1,66.7,16.7
2025-07-15,Manchester,Propping & Support,7,5,2,0,71.4,28.6
2025-07-15,Manchester,Lighting,2,1,0,1,50.0,0.0
2025-07-15,Manchester,Fencing & Barriers,2,1,1,0,50.0,50.0
2025-07-15,Manchester,Fixing & Fastening,3,2,1,0,66.7,33.3
2025-07-15,Manchester,Concreting & Compaction,9,4,2,3,44.4,22.2
2025-07-15,Manchester,Fuel & Gas,2,2,1,0,100.0,50.0
2025-07-15,Manchester,Survey & Location,2,1,0,1,50.0,0.0
2025-07-15,Manchester,Site Equipment & Groundworks,3,2,1,0,66.7,33.3
2025-07-15,Manchester,Power & Electrics,9,6,2,1,66.7,22.2
2025-07-15,Bristol,Plant,16,12,4,0,75.0,25.0
2025-07-15,Bristol,Powered Access,16,10,4,2,62.5,25.0
2025-07-15,Bristol,Breakers & Drills,51,32,13,6,62.7,25.5
2025-07-15,Bristol,Material Handling & Logistics,45,27,10,8,60.0,22.2
2025-07-15,Bristol,Lifting Equipment,29,18,7,4,62.1,24.1
2025-07-15,Bristol,"Accommodation, Storage & Welfare",13,10,3,0,76.9,23.1
2025-07-15,Bristol,Cutting & Grinding,25,19,6,0,76.0,24.0
2025-07-15,Bristol,Access,5,3,1,1,60.0,20.0
2025-07-15,Bristol,Cleaning,3,2,1,0,66.7,33.3
2025-07-15,Bristol,Sanding & Woodworking,6,4,1,1,66.7,16.7
2025-07-15,Bristol,Landscaping & Gardening,9,5,2,2,55.6,22.2
2025-07-15,Bristol,Mechanical & Electrical,6,3,2,1,50.0,33.3
2025-07-15,Bristol,Painting & Decorating,1,1,0,0,100.0,0.0
2025-07-15,Bristol,Consumables,2,1,0,1,50.0,0.0
2025-07-15,Bristol,"Safety, Ventilation & Extraction",4,2,1,1,50.0,25.0
2025-07-15,Bristol,Propping & Support,5,3,1,1,60.0,20.0
2025-07-15,Bristol,Lighting,3,1,1,1,33.3,33.3
2025-07-15,Bristol,Fencing & Barriers,3,2,1,0,66.7,33.3
2025-07-15,Bristol,Fixing & Fastening,6,3,1,2,50.0,16.7
2025-07-15,Bristol,Concreting & Compaction,5,3,1,1,60.0,20.0
2025-07-15,Bristol,Fuel & Gas,3,2,1,0,66.7,33.3
2025-07-15,Bristol,Survey & Location,8,6,2,0,75.0,25.0
2025-07-15,Bristol,Site Equipment & Groundworks,6,4,1,1,66.7,16.7
2025-07-15,Bristol,Power & Electrics,5,4,1,0,80.0,20.0
2025-07-15,Leeds,Plant,13,6,3,4,46.2,23.1
2025-07-15,Leeds,Powered Access,22,13,5,4,59.1,22.7
2025-07-15,Leeds,Breakers & Drills,42,29,10,3,69.0,23.8
2025-07-15,Leeds,Material Handling & Logistics,56,33,12,11,58.9,21.4
2025-07-15,Leeds,Lifting Equipment,41,23,11,7,56.1,26.8
2025-07-15,Leeds,"Accommodation, Storage & Welfare",25,17,6,2,68.0,24.0
2025-07-15,Leeds,Cutting & Grinding,37,27,9,1,73.0,24.3
2025-07-15,Leeds,Access,5,3,1,1,60.0,20.0
2025-07-15,Leeds,Cleaning,9,6,2,1,66.7,22.2
2025-07-15,Leeds,Sanding & Woodworking,5,3,1,1,60.0,20.0
2025-07-15,Leeds,Landscaping & Gardening,2,2,0,0,100.0,0.0
2025-07-15,Leeds,Mechanical & Electrical,4,2,1,1,50.0,25.0
2025-07-15,Leeds,Painting & Decorating,2,1,0,1,50.0,0.0
2025-07-15,Leeds,Consumables,3,2,1,0,66.7,33.3
2025-07-15,Leeds,Climate Control,3,2,1,0,66.7,33.3
2025-07-15,Leeds,"Safety, Ventilation & Extraction",1,1,0,0,100.0,0.0
2025-07-15,Leeds,Propping & Support,3,2,1,0,66.7,33.3
2025-07-15,Leeds,Lighting,1,1,0,0,100.0,0.0
2025-07-15,Leeds,Fencing & Barriers,2,1,1,0,50.0,50.0
2025-07-15,Leeds,Fixing & Fastening,1,1,0,0,100.0,0.0
2025-07-15,Leeds,Concreting & Compaction,4,3,1,0,75.0,25.0
2025-07-15,Leeds,Survey & Location,3,2,1,0,66.7,33.3
2025-07-15,Leeds,Site Equipment & Groundworks,1,1,0,0,100.0,0.0
2025-07-15,Leeds,Power & Electrics,4,2,1,1,50.0,25.0
2025-07-16,London North,Plant,11,7,3,1,63.6,27.3
2025-07-16,London North,Powered Access,17,9,4,4,52.9,23.5
2025-07-16,London North,Breakers & Drills,52,32,11,9,61.5,21.2
2025-07-16,London North,Material Handling & Logistics,40,30,10,0,75.0,25.0
2025-07-16,London North,Lifting Equipment,31,24,8,0,77.4,25.8
2025-07-16,London North,"Accommodation, Storage & Welfare",14,10,3,1,71.4,21.4
2025-07-16,London North,Cutting & Grinding,30,27,7,0,90.0,23.3
2025-07-16,London North,Access,3,2,1,0,66.7,33.3
2025-07-16,London North,Cleaning,7,4,1,2,57.1,14.3
2025-07-16,London North,Sanding & Woodworking,10,8,2,0,80.0,20.0
2025-07-16,London North,Landscaping & Gardening,2,1,0,1,50.0,0.0
2025-07-16,London North,Mechanical & Electrical,6,3,1,2,50.0,16.7
2025-07-16,London North,Painting & Decorating,1,1,0,0,100.0,0.0
2025-07-16,London North,Consumables,4,3,1,0,75.0,25.0
2025-07-16,London North,"Safety, Ventilation & Extraction",1,1,0,0,100.0,0.0
2025-07-16,London North,Propping & Support,1,1,0,0,100.0,0.0
2025-07-16,London North,Lighting,5,4,1,0,80.0,20.0
2025-07-16,London North,Fencing & Barriers,2,1,0,1,50.0,0.0
2025-07-16,London North,Fixing & Fastening,7,4,1,2,57.1,14.3
2025-07-16,London North,Concreting & Compaction,3,3,1,0,100.0,33.3
2025-07-16,London North,Fuel & Gas,1,1,0,0,100.0,0.0
2025-07-16,London North,Survey & Location,5,4,1,0,80.0,20.0
2025-07-16,London North,Site Equipment & Groundworks,4,3,1,0,75.0,25.0
2025-07-16,London North,Power & Electrics,4,2,1,1,50.0,25.0
2025-07-16,London South,Plant,11,8,2,1,72.7,18.2
2025-07-16,London South,Powered Access,12,6,3,3,50.0,25.0
2025-07-16,London South,Breakers & Drills,45,34,11,0,75.6,24.4
2025-07-16,London South,Material Handling & Logistics,37,25,8,4,67.6,21.6
2025-07-16,London South,Lifting Equipment,33,23,7,3,69.7,21.2
2025-07-16,London South,"Accommodation, Storage & Welfare",8,5,2,1,62.5,25.0
2025-07-16,London South,Cutting & Grinding,36,20,9,7,55.6,25.0
2025-07-16,London South,Access,5,3,1,1,60.0,20.0
2025-07-16,London South,Cleaning,12,7,3,2,58.3,25.0
2025-07-16,London South,Sanding & Woodworking,9,5,2,2,55.6,22.2
2025-07-16,London South,Landscaping & Gardening,3,2,1,0,66.7,33.3
2025-07-16,London South,Mechanical & Electrical,8,5,2,1,62.5,25.0
2025-07-16,London South,Painting & Decorating,3,1,1,1,33.3,33.3
2025-07-16,London South,Consumables,5,4,1,0,80.0,20.0
2025-07-16,London South,Climate Control,4,3,1,0,75.0,25.0
2025-07-16,London South,"Safety, Ventilation & Extraction",2,1,0,1,50.0,0.0
2025-07-16,London South,Propping & Support,1,1,0,0,100.0,0.0
2025-07-16,London South,Lighting,1,1,0,0,100.0,0.0
2025-07-16,London South,Fencing & Barriers,3,2,1,0,66.7,33.3
2025-07-16,London South,Fixing & Fastening,3,2,1,0,66.7,33.3
2025-07-16,London South,Concreting & Compaction,9,4,2,3,44.4,22.2
2025-07-16,London South,Fuel & Gas,2,1,0,1,50.0,0.0
2025-07-16,London South,Survey & Location,4,2,1,1,50.0,25.0
2025-07-16,London South,Site Equipment & Groundworks,5,4,1,0,80.0,20.0
2025-07-16,London South,Power & Electrics,5,3,1,1,60.0,20.0
2025-07-16,Birmingham,Plant,7,4,2,1,57.1,28.6
2025-07-16,Birmingham,Powered Access,14,6,3,5,42.9,21.4
2025-07-16,Birmingham,Breakers & Drills,53,33,12,8,62.3,22.6
2025-07-16,Birmingham,Material Handling & Logistics,23,14,5,4,60.9,21.7
2025-07-16,Birmingham,Lifting Equipment,28,18,7,3,64.3,25.0
2025-07-16,Birmingham,"Accommodation, Storage & Welfare",23,13,5,5,56.5,21.7
2025-07-16,Birmingham,Cutting & Grinding,27,16,7,4,59.3,25.9
2025-07-16,Birmingham,Access,5,3,1,1,60.0,20.0
2025-07-16,Birmingham,Cleaning,8,4,2,2,50.0,25.0
2025-07-16,Birmingham,Sanding & Woodworking,12,8,3,1,66.7,25.0
2025-07-16,Birmingham,Landscaping & Gardening,5,4,1,0,80.0,20.0
2025-07-16,Birmingham,Mechanical & Electrical,3,2,1,0,66.7,33.3
2025-07-16,Birmingham,Painting & Decorating,2,1,0,1,50.0,0.0
2025-07-16,Birmingham,Consumables,2,1,0,1,50.0,0.0
2025-07-16,Birmingham,Climate Control,3,2,1,0,66.7,33.3
2025-07-16,Birmingham,"Safety, Ventilation & Extraction",5,3,1,1,60.0,20.0
2025-07-16,Birmingham,Propping & Support,1,1,0,0,100.0,0.0
2025-07-16,Birmingham,Lighting,1,1,0,0,100.0,0.0
2025-07-16,Birmingham,Fencing & Barriers,2,1,0,1,50.0,0.0
2025-07-16,Birmingham,Fixing & Fastening,5,3,1,1,60.0,20.0
2025-07-16,Birmingham,Concreting & Compaction,3,2,1,0,66.7,33.3
2025-07-16,Birmingham,Fuel & Gas,3,2,1,0,66.7,33.3
2025-07-16,Birmingham,Survey & Location,4,2,1,1,50.0,25.0
2025-07-16,Birmingham,Site Equipment & Groundworks,5,4,1,0,80.0,20.0
2025-07-16,Birmingham,Power & Electrics,4,2,1,1,50.0,25.0
2025-07-16,Manchester,Plant,12,7,3,2,58.3,25.0
2025-07-16,Manchester,Powered Access,22,17,6,0,77.3,27.3
2025-07-16,Manchester,Breakers & Drills,43,29,10,4,67.4,23.3
2025-07-16,Manchester,Material Handling & Logistics,35,22,9,4,62.9,25.7
2025-07-16,Manchester,Lifting Equipment,30,17,6,7,56.7,20.0
2025-07-16,Manchester,"Accommodation, Storage & Welfare",21,14,5,2,66.7,23.8
2025-07-16,Manchester,Cutting & Grinding,36,21,9,6,58.3,25.0
2025-07-16,Manchester,Access,1,1,0,0,100.0,0.0
2025-07-16,Manchester,Cleaning,7,4,2,1,57.1,28.6
2025-07-16,Manchester,Sanding & Woodworking,4,2,1,1,50.0,25.0
2025-07-16,Manchester,Landscaping & Gardening,3,2,1,0,66.7,33.3
2025-07-16,Manchester,Mechanical & Electrical,3,2,1,0,66.7,33.3
2025-07-16,Manchester,Painting & Decorating,2,2,0,0,100.0,0.0
2025-07-16,Manchester,Consumables,6,3,2,1,50.0,33.3
2025-07-16,Manchester,Climate Control,3,2,1,0,66.7,33.3
2025-07-16,Manchester,"Safety, Ventilation & Extraction",6,3,1,2,50.0,16.7
2025-07-16,Manchester,Propping & Support,7,6,2,0,85.7,28.6
2025-07-16,Manchester,Lighting,2,1,0,1,50.0,0.0
2025-07-16,Manchester,Fencing & Barriers,2,1,0,1,50.0,0.0
2025-07-16,Manchester,Fixing & Fastening,3,2,1,0,66.7,33.3
2025-07-16,Manchester,Concreting & Compaction,9,5,2,2,55.6,22.2
2025-07-16,Manchester,Fuel & Gas,2,1,0,1,50.0,0.0
2025-07-16,Manchester,Survey & Location,2,1,0,1,50.0,0.0
2025-07-16,Manchester,Site Equipment & Groundworks,3,2,1,0,66.7,33.3
2025-07-16,Manchester,Power & Electrics,9,7,2,0,77.8,22.2
2025-07-16,Bristol,Plant,16,10,3,3,62.5,18.8
2025-07-16,Bristol,Powered Access,16,12,4,0,75.0,25.0
2025-07-16,Bristol,Breakers & Drills,51,36,12,3,70.6,23.5
2025-07-16,Bristol,Material Handling & Logistics,45,30,11,4,66.7,24.4
2025-07-16,Bristol,Lifting Equipment,29,16,6,7,55.2,20.7
2025-07-16,Bristol,"Accommodation, Storage & Welfare",13,6,3,4,46.2,23.1
2025-07-16,Bristol,Cutting & Grinding,25,16,6,3,64.0,24.0
2025-07-16,Bristol,Access,5,3,1,1,60.0,20.0
2025-07-16,Bristol,Cleaning,3,2,1,0,66.7,33.3
2025-07-16,Bristol,Sanding & Woodworking,6,3,1,2,50.0,16.7
2025-07-16,Bristol,Landscaping & Gardening,9,7,2,0,77.8,22.2
2025-07-16,Bristol,Mechanical & Electrical,6,4,1,1,66.7,16.7
2025-07-16,Bristol,Painting & Decorating,1,1,0,0,100.0,0.0
2025-07-16,Bristol,Consumables,2,1,0,1,50.0,0.0
2025-07-16,Bristol,"Safety, Ventilation & Extraction",4,3,1,0,75.0,25.0
2025-07-16,Bristol,Propping & Support,5,4,1,0,80.0,20.0
2025-07-16,Bristol,Lighting,3,1,1,1,33.3,33.3
2025-07-16,Bristol,Fencing & Barriers,3,2,1,0,66.7,33.3
2025-07-16,Bristol,Fixing & Fastening,6,5,1,0,83.3,16.7
2025-07-16,Bristol,Concreting & Compaction,5,3,1,1,60.0,20.0
2025-07-16,Bristol,Fuel & Gas,3,1,1,1,33.3,33.3
2025-07-16,Bristol,Survey & Location,8,4,2,2,50.0,25.0
2025-07-16,Bristol,Site Equipment & Groundworks,6,3,1,2,50.0,16.7
2025-07-16,Bristol,Power & Electrics,5,3,1,1,60.0,20.0
2025-07-16,Leeds,Plant,13,8,3,2,61.5,23.1
2025-07-16,Leeds,Powered Access,22,16,5,1,72.7,22.7
2025-07-16,Leeds,Breakers & Drills,42,29,9,4,69.0,21.4
2025-07-16,Leeds,Material Handling & Logistics,56,31,14,11,55.4,25.0
2025-07-16,Leeds,Lifting Equipment,41,27,8,6,65.9,19.5
2025-07-16,Leeds,"Accommodation, Storage & Welfare",25,20,6,0,80.0,24.0
2025-07-16,Leeds,Cutting & Grinding,37,21,9,7,56.8,24.3
2025-07-16,Leeds,Access,5,4,1,0,80.0,20.0
2025-07-16,Leeds,Cleaning,9,6,2,1,66.7,22.2
2025-07-16,Leeds,Sanding & Woodworking,5,3,1,1,60.0,20.0
2025-07-16,Leeds,Landscaping & Gardening,2,1,0,1,50.0,0.0
2025-07-16,Leeds,Mechanical & Electrical,4,2,1,1,50.0,25.0
2025-07-16,Leeds,Painting & Decorating,2,1,0,1,50.0,0.0
2025-07-16,Leeds,Consumables,3,2,1,0,66.7,33.3
2025-07-16,Leeds,Climate Control,3,2,1,0,66.7,33.3
2025-07-16,Leeds,"Safety, Ventilation & Extraction",1,1,0,0,100.0,0.0
2025-07-16,Leeds,Propping & Support,3,2,1,0,66.7,33.3
2025-07-16,Leeds,Lighting,1,1,0,0,100.0,0.0
2025-07-16,Leeds,Fencing & Barriers,2,1,0,1,50.0,0.0
2025-07-16,Leeds,Fixing & Fastening,1,1,0,0,100.0,0.0
2025-07-16,Leeds,Concreting & Compaction,4,3,1,0,75.0,25.0
2025-07-16,Leeds,Survey & Location,3,2,1,0,66.7,33.3
2025-07-16,Leeds,Site Equipment & Groundworks,1,1,0,0,100.0,0.0
2025-07-16,Leeds,Power & Electrics,4,3,1,0,75.0,25.0
2025-07-17,London North,Plant,11,7,3,1,63.6,27.3
2025-07-17,London North,Powered Access,17,11,4,2,64.7,23.5
2025-07-17,London North,Breakers & Drills,52,34,12,6,65.4,23.1
2025-07-17,London North,Material Handling & Logistics,40,24,10,6,60.0,25.0
2025-07-17,London North,Lifting Equipment,31,19,7,5,61.3,22.6
2025-07-17,London North,"Accommodation, Storage & Welfare",14,11,3,0,78.6,21.4
2025-07-17,London North,Cutting & Grinding,30,21,7,2,70.0,23.3
2025-07-17,London North,Access,3,2,1,0,66.7,33.3
2025-07-17,London North,Cleaning,7,6,2,0,85.7,28.6
2025-07-17,London North,Sanding & Woodworking,10,6,3,1,60.0,30.0
2025-07-17,London North,Landscaping & Gardening,2,2,0,0,100.0,0.0
2025-07-17,London North,Mechanical & Electrical,6,4,1,1,66.7,16.7
2025-07-17,London North,Painting & Decorating,1,1,0,0,100.0,0.0
2025-07-17,London North,Consumables,4,3,1,0,75.0,25.0
2025-07-17,London North,"Safety, Ventilation & Extraction",1,1,0,0,100.0,0.0
2025-07-17,London North,Propping & Support,1,1,0,0,100.0,0.0
2025-07-17,London North,Lighting,5,3,1,1,60.0,20.0
2025-07-17,London North,Fencing & Barriers,2,1,0,1,50.0,0.0
2025-07-17,London North,Fixing & Fastening,7,4,2,1,57.1,28.6
2025-07-17,London North,Concreting & Compaction,3,2,1,0,66.7,33.3
2025-07-17,London North,Fuel & Gas,1,1,0,0,100.0,0.0
2025-07-17,London North,Survey & Location,5,2,1,2,40.0,20.0
2025-07-17,London North,Site Equipment & Groundworks,4,3,1,0,75.0,25.0
2025-07-17,London North,Power & Electrics,4,2,1,1,50.0,25.0
2025-07-17,London South,Plant,11,6,2,3,54.5,18.2
2025-07-17,London South,Powered Access,12,8,3,1,66.7,25.0
2025-07-17,London South,Breakers & Drills,45,31,11,3,68.9,24.4
2025-07-17,London South,Material Handling & Logistics,37,28,8,1,75.7,21.6
2025-07-17,London South,Lifting Equipment,33,20,7,6,60.6,21.2
2025-07-17,London South,"Accommodation, Storage & Welfare",8,5,2,1,62.5,25.0
2025-07-17,London South,Cutting & Grinding,36,28,9,0,77.8,25.0
2025-07-17,London South,Access,5,4,1,0,80.0,20.0
2025-07-17,London South,Cleaning,12,11,2,0,91.7,16.7
2025-07-17,London South,Sanding & Woodworking,9,6,2,1,66.7,22.2
2025-07-17,London South,Landscaping & Gardening,3,2,1,0,66.7,33.3
2025-07-17,London South,Mechanical & Electrical,8,7,2,0,87.5,25.0
2025-07-17,London South,Painting & Decorating,3,2,1,0,66.7,33.3
2025-07-17,London South,Consumables,5,3,1,1,60.0,20.0
2025-07-17,London South,Climate Control,4,2,1,1,50.0,25.0
2025-07-17,London South,"Safety, Ventilation & Extraction",2,1,0,1,50.0,0.0
2025-07-17,London South,Propping & Support,1,1,0,0,100.0,0.0
2025-07-17,London South,Lighting,1,1,0,0,100.0,0.0
2025-07-17,London South,Fencing & Barriers,3,2,1,0,66.7,33.3
2025-07-17,London South,Fixing & Fastening,3,2,1,0,66.7,33.3
2025-07-17,London South,Concreting & Compaction,9,5,2,2,55.6,22.2
2025-07-17,London South,Fuel & Gas,2,1,1,0,50.0,50.0
2025-07-17,London South,Survey & Location,4,3,1,0,75.0,25.0
2025-07-17,London South,Site Equipment & Groundworks,5,3,1,1,60.0,20.0
2025-07-17,London South,Power & Electrics,5,4,1,0,80.0,20.0
2025-07-17,Birmingham,Plant,7,5,1,1,71.4,14.3
2025-07-17,Birmingham,Powered Access,14,10,3,1,71.4,21.4
2025-07-17,Birmingham,Breakers & Drills,53,37,13,3,69.8,24.5
2025-07-17,Birmingham,Material Handling & Logistics,23,14,5,4,60.9,21.7
2025-07-17,Birmingham,Lifting Equipment,28,21,7,0,75.0,25.0
2025-07-17,Birmingham,"Accommodation, Storage & Welfare",23,16,6,1,69.6,26.1
2025-07-17,Birmingham,Cutting & Grinding,27,11,5,11,40.7,18.5
2025-07-17,Birmingham,Access,5,3,1,1,60.0,20.0
2025-07-17,Birmingham,Cleaning,8,6,2,0,75.0,25.0
2025-07-17,Birmingham,Sanding & Woodworking,12,8,2,2,66.7,16.7
2025-07-17,Birmingham,Landscaping & Gardening,5,3,1,1,60.0,20.0
2025-07-17,Birmingham,Mechanical & Electrical,3,1,1,1,33.3,33.3
2025-07-17,Birmingham,Painting & Decorating,2,1,0,1,50.0,0.0
2025-07-17,Birmingham,Consumables,2,1,0,1,50.0,0.0
2025-07-17,Birmingham,Climate Control,3,2,1,0,66.7,33.3
2025-07-17,Birmingham,"Safety, Ventilation & Extraction",5,4,1,0,80.0,20.0
2025-07-17,Birmingham,Propping & Support,1,1,0,0,100.0,0.0
2025-07-17,Birmingham,Lighting,1,1,0,0,100.0,0.0
2025-07-17,Birmingham,Fencing & Barriers,2,1,0,1,50.0,0.0
2025-07-17,Birmingham,Fixing & Fastening,5,3,1,1,60.0,20.0
2025-07-17,Birmingham,Concreting & Compaction,3,2,1,0,66.7,33.3
2025-07-17,Birmingham,Fuel & Gas,3,2,1,0,66.7,33.3
2025-07-17,Birmingham,Survey & Location,4,3,1,0,75.0,25.0
2025-07-17,Birmingham,Site Equipment & Groundworks,5,3,1,1,60.0,20.0
2025-07-17,Birmingham,Power & Electrics,4,3,1,0,75.0,25.0
2025-07-17,Manchester,Plant,12,7,2,3,58.3,16.7
2025-07-17,Manchester,Powered Access,22,18,5,0,81.8,22.7
2025-07-17,Manchester,Breakers & Drills,43,29,11,3,67.4,25.6
2025-07-17,Manchester,Material Handling & Logistics,35,24,9,2,68.6,25.7
2025-07-17,Manchester,Lifting Equipment,30,18,7,5,60.0,23.3
2025-07-17,Manchester,"Accommodation, Storage & Welfare",21,13,4,4,61.9,19.0
2025-07-17,Manchester,Cutting & Grinding,36,33,8,0,91.7,22.2
2025-07-17,Manchester,Access,1,1,0,0,100.0,0.0
2025-07-17,Manchester,Cleaning,7,3,2,2,42.9,28.6
2025-07-17,Manchester,Sanding & Woodworking,4,2,1,1,50.0,25.0
2025-07-17,Manchester,Landscaping & Gardening,3,1,1,1,33.3,33.3
2025-07-17,Manchester,Mechanical & Electrical,3,2,1,0,66.7,33.3
2025-07-17,Manchester,Painting & Decorating,2,1,0,1,50.0,0.0
2025-07-17,Manchester,Consumables,6,4,1,1,66.7,16.7
